name,address,location,adname,type,shopinfo,lng,lat,is_chain
纽巷咖啡(锦和巴黎时韵店),襄阳南路500号2511室,"121.457808,31.205629",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457808,31.205629,False
BREAD ETC(襄阳南路店),建国西路304号一层,"121.457947,31.205321",徐汇区,餐饮服务;糕饼店;糕饼店|餐饮服务;休闲餐饮场所;休闲餐饮场所,0,121.457947,31.205321,False
CoffeeDealer咖啡丢了(建国西路店),建国西路310号,"121.457855,31.205081",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457855,31.205081,False
言一咖啡(建国西路店),建国西路297号,"121.457762,31.204885",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457762,31.204885,False
M Stand(建国西路店),建国西路338-2,"121.457107,31.204849",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457107,31.204849,True
Manner Coffee(建国西路店),建国西路338号,"121.457055,31.204813",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457055,31.204813,True
COFFEE IS(襄阳南路店),襄阳南路391-3号,"121.458102,31.207027",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.458102,31.207027,False
COACORE,襄阳南路391号,"121.458151,31.207091",徐汇区,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,0,121.458151,31.207091,False
CONTENT U COFFEE(襄阳南路店),襄阳南路444弄1号,"121.458068,31.207146",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.458068,31.207146,False
LA BLEUE coffee & lifestyle,建国西路327弄1号,"121.456825,31.204571",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.456825,31.204571,False
红蓝黄白黑,襄阳南路与永嘉路交叉口南180米,"121.458036,31.207371",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.458036,31.207371,False
枕山Tea Valley,襄阳南路381号枕山,"121.458028,31.207547",徐汇区,购物服务;购物相关场所;购物相关场所,1,121.458028,31.207547,False
Co3coffee,建国西路368号,"121.456188,31.204554",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.456188,31.204554,False
星巴克(嘉御庭店),建国西路258号(嘉善路地铁站2号口步行440米),"121.459868,31.205767",徐汇区,餐饮服务;咖啡厅;星巴克咖啡,1,121.459868,31.205767,True
O.P.S. CAFE(太原路店),太原路177弄1号临(近建国西路),"121.455320,31.205608",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.45532,31.205608,False
晓春和(尚街Loft时尚生活园区店),嘉善路与建国西路交叉口南140米,"121.459875,31.204580",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.459875,31.20458,False
瑞幸咖啡(嘉善路店),嘉善路451号梧桐花园B座底商,"121.460550,31.205443",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.46055,31.205443,True
CaptainGeorge风味博物馆,太原路236号,"121.455523,31.204039",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.455523,31.204039,False
KIOSK COFFEE,太原路283-1号,"121.455897,31.203693",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.455897,31.203693,False
DayDreaming Cafe(襄阳路店),襄阳南路342号,"121.457886,31.208547",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457886,31.208547,False
Qbox Coffee,永嘉路370号,"121.456619,31.208432",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.456619,31.208432,False
iFuture科学咖(太原路店),太原路258号南侧,"121.455735,31.203388",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.455735,31.203388,False
面包咖啡好天气パンカフェ日和,永嘉路331号,"121.457600,31.208795",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.4576,31.208795,False
Healing Space一刻灵感疗愈咖啡茶空间,嘉善路259号嘉善老市D栋102室,"121.460879,31.207118",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.460879,31.207118,False
SIM PUR咖啡艺术家(嘉善路店),嘉善路177号-2,"121.460128,31.208029",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.460128,31.208029,False
3½三又二分之一,太原路305弄1-10号太原路305弄,"121.456159,31.202849",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.456159,31.202849,False
coffee hana,天平路街道永嘉路305号,"121.458637,31.209214",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.458637,31.209214,False
上海牌咖啡(轻工大厦店),肇嘉浜路与襄阳南路交叉口西100米,"121.457694,31.202292",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457694,31.202292,False
i17 CAFE,太原路315-3号,"121.456131,31.202513",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.456131,31.202513,False
特渴能咖啡商店,建国西路200号,"121.461784,31.206517",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.461784,31.206517,False
悉达多咖啡工作室,建国西路与太原路交叉口西南140米,"121.454270,31.203732",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.45427,31.203732,False
LANERS初心会客厅(慎成里店),永嘉路291弄1-90号慎成里,"121.458887,31.209245",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.458887,31.209245,False
LANERS老虎灶喫咖啡(慎成里店),永嘉路291弄1-90号慎成里,"121.458889,31.209250",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.458889,31.20925,False
建国咖啡,建国西路212乙科普弄(嘉善路地铁站2号口步行490米),"121.461842,31.206532",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.461842,31.206532,False
bpc咖啡豆宝(永嘉路店),永嘉路297号,"121.458801,31.209313",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.458801,31.209313,False
